scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.700,1.7,48,0.1,KR_like,-94.94380339276009,0.32174153340111467,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,0.1,lorentzian_like_2d,-70.61394276422939,3.9267802181456894,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,0.2,KR_like,-93.43802317317665,0.3544240165860582,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,0.2,lorentzian_like_2d,-70.42134731050989,3.9887980359671253,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,0.4,KR_like,-90.42646273400976,0.41978898295596534,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,0.4,lorentzian_like_2d,-70.0361564030709,4.112833671610007,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,0.6,KR_like,-87.41490229484288,0.4851539493258675,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,0.6,lorentzian_like_2d,-69.65096549563191,4.236869307252884,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,0.8,KR_like,-84.40334185567599,0.5505189156957746,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,0.8,lorentzian_like_2d,-69.26577458819293,4.360904942895747,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,1.0,KR_like,-81.39178141650912,0.6158838820656667,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,1.0,lorentzian_like_2d,-68.88058368075394,4.4849405785386285,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,1.5,KR_like,-73.86288031859192,0.7792962979904295,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,48,1.5,lorentzian_like_2d,-67.91760641215649,4.795029667645804,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,2.0,lorentzian_like_2d,-66.95462914355902,5.105118756753002,1.9259545371949294,70.80653821794888,exact,2
1.700,1.7,48,2.0,KR_like,-66.3339792206747,0.9427087139151974,15.057802195834405,96.44958361234353,sis,2
1.700,1.7,52,0.0,KR_like,-108.98561716545495,0.1687926850512494,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,0.1,KR_like,-107.40738932809266,0.23328019296306246,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.1,lorentzian_like_2d,-79.89501415401276,1.32614872442517,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,0.2,KR_like,-105.82916149073037,0.2977677008748956,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.2,lorentzian_like_2d,-79.73343440073423,1.337422818379514,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,0.4,KR_like,-102.67270581600579,0.42674271669852176,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.4,lorentzian_like_2d,-79.41027489417715,1.3599710062881871,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,0.6,KR_like,-99.5162501412812,0.5557177325221679,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.6,lorentzian_like_2d,-79.08711538762006,1.3825191941968553,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,0.8,KR_like,-96.35979446655662,0.6846927483458092,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,0.8,lorentzian_like_2d,-78.763955881063,1.4050673821055435,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,1.0,KR_like,-93.20333879183204,0.8136677641694403,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,1.0,lorentzian_like_2d,-78.44079637450591,1.4276155700142115,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,1.5,KR_like,-85.31219960502057,1.136105303728531,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,1.5,lorentzian_like_2d,-77.63289760811321,1.4839860397858968,1.6157975327853897,80.0565939072913,exact,2
1.700,1.7,52,2.0,KR_like,-77.42106041820912,1.4585428432876313,15.782278373622919,108.98561716545495,sis,2
1.700,1.7,52,2.0,lorentzian_like_2d,-76.82499884172051,1.5403565095575822,1.6157975327853897,80.0565939072913,exact,2
1.800,1.8,48,0.0,KR_like,-96.44958361234353,0.2890590502161561,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,0.1,KR_like,-94.90672500772102,0.32365639742315067,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.1,lorentzian_like_2d,-70.60581354124952,3.926552025259543,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,0.2,KR_like,-93.36386640309853,0.35825374463015036,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.2,lorentzian_like_2d,-70.40508886455018,3.988341650194828,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,0.4,KR_like,-90.27814919385354,0.42744843904412955,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.4,lorentzian_like_2d,-70.00363951115148,4.111920900065408,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,0.6,KR_like,-87.19243198460853,0.49664313345810873,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.6,lorentzian_like_2d,-69.60219015775277,4.235500149935987,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,0.8,KR_like,-84.10671477536354,0.5658378278720879,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,0.8,lorentzian_like_2d,-69.20074080435406,4.359079399806582,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,1.0,KR_like,-81.02099756611855,0.6350325222860722,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,1.0,lorentzian_like_2d,-68.79929145095534,4.482658649677157,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,1.5,KR_like,-73.30670454300605,0.8080192583210253,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,48,1.5,lorentzian_like_2d,-67.79566806745859,4.791606774353606,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,2.0,lorentzian_like_2d,-66.79204468396182,5.100554899030057,2.0072467669935277,70.80653821794888,exact,2
1.800,1.8,48,2.0,KR_like,-65.59241151989357,0.9810059943559833,15.428586046224979,96.44958361234353,sis,2
1.800,1.8,52,0.0,KR_like,-108.98561716545495,0.1687926850512494,16.155748918057142,108.98561716545495,sis,2
1.800,1.8,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.7048744905997761,80.0565939072913,exact,2
