family,n,gamma,log_H_mean,log_H_std,geo_penalty_mean,score_A3_mean,score_A3_std
KR_4layer,10,0.4,9.36445174261682,1.199820155202103,10.867778435499693,-5.017340368416944,3.2536955754627517
KR_4layer,10,0.8,9.36445174261682,1.199820155202103,10.867778435499693,-0.6702289942170666,7.545533183958796
KR_4layer,10,1.6,9.36445174261682,1.199820155202103,10.867778435499693,8.023993754182689,16.162823151094013
KR_4layer,12,0.0,12.364360747639086,1.1603217728030413,9.085217706672765,-12.364360747639086,1.1603217728030413
KR_4layer,12,0.2,12.364360747639086,1.1603217728030413,9.085217706672765,-10.547317206304534,1.167110184886342
KR_4layer,12,0.4,12.364360747639086,1.1603217728030413,9.085217706672765,-8.73027366496998,3.446396446885838
KR_4layer,12,0.8,12.364360747639086,1.1603217728030413,9.085217706672765,-5.096186582300874,8.025444610402772
KR_4layer,12,1.6,12.364360747639086,1.1603217728030413,9.085217706672765,2.1719875830373385,17.189078487933003
KR_4layer,14,0.0,15.129717197208532,0.37332317312191554,3.893366669294772,-15.129717197208532,0.37332317312191554
KR_4layer,14,0.2,15.129717197208532,0.37332317312191554,3.893366669294772,-14.351043863349577,0.2697962927711022
KR_4layer,14,0.4,15.129717197208532,0.37332317312191554,3.893366669294772,-13.572370529490623,0.33306028142847527
KR_4layer,14,0.8,15.129717197208532,0.37332317312191554,3.893366669294772,-12.015023861772715,0.7080714401926497
KR_4layer,14,1.6,15.129717197208532,0.37332317312191554,3.893366669294772,-8.900330526336896,1.593382676178792
KR_4layer,16,0.0,17.348181243858445,0.7566414600284175,2.03465374995316,-17.348181243858445,0.7566414600284175
KR_4layer,16,0.2,17.348181243858445,0.7566414600284175,2.03465374995316,-16.941250493867813,0.6174593524005489
KR_4layer,16,0.4,17.348181243858445,0.7566414600284175,2.03465374995316,-16.53431974387718,0.5810048941091535
KR_4layer,16,0.8,17.348181243858445,0.7566414600284175,2.03465374995316,-15.720458243895916,0.8323884934568119
KR_4layer,16,1.6,17.348181243858445,0.7566414600284175,2.03465374995316,-14.092735243933388,1.7816310015003956
KR_4layer,18,0.0,21.72735335391495,0.8089789620865898,3.5537387928909068,-21.72735335391495,0.8089789620865898
KR_4layer,18,0.2,21.72735335391495,0.8089789620865898,3.5537387928909068,-21.016605595336767,0.4918778221940577
KR_4layer,18,0.4,21.72735335391495,0.8089789620865898,3.5537387928909068,-20.305857836758584,0.39451092779591884
KR_4layer,18,0.8,21.72735335391495,0.8089789620865898,3.5537387928909068,-18.88436231960222,0.9806241790143255
KR_4layer,18,1.6,21.72735335391495,0.8089789620865898,3.5537387928909068,-16.041371285289497,2.5471498952550915
KR_4layer,20,0.0,25.336156683486443,0.8882155806486464,3.7129546660679553,-25.336156683486443,0.8882155806486464
KR_4layer,20,0.2,25.336156683486443,0.8882155806486464,3.7129546660679553,-24.59356575027285,0.5527213409389701
KR_4layer,20,0.4,25.336156683486443,0.8882155806486464,3.7129546660679553,-23.85097481705926,0.5242285821436442
KR_4layer,20,0.8,25.336156683486443,0.8882155806486464,3.7129546660679553,-22.365792950632077,1.2536615752682516
KR_4layer,20,1.6,25.336156683486443,0.8882155806486464,3.7129546660679553,-19.395429217777714,3.098105868793834
KR_like,10,0.0,8.798510397684758,0.400514987472861,4.428978535788932,-8.798510397684758,0.400514987472861
KR_like,10,0.2,8.798510397684758,0.400514987472861,4.428978535788932,-7.912714690526972,0.3163157493559079
KR_like,10,0.4,8.798510397684758,0.400514987472861,4.428978535788932,-7.026918983369185,0.677568805349312
KR_like,10,0.8,8.798510397684758,0.400514987472861,4.428978535788932,-5.2553275690536125,1.5605731175249067
KR_like,10,1.6,8.798510397684758,0.400514987472861,4.428978535788932,-1.7121447404224663,3.3794632130798
KR_like,12,0.0,12.233040988555535,0.39893906683813773,6.2653175252970605,-12.233040988555535,0.39893906683813773
KR_like,12,0.2,12.233040988555535,0.39893906683813773,6.2653175252970605,-10.979977483496123,0.32848713102048466
KR_like,12,0.4,12.233040988555535,0.39893906683813773,6.2653175252970605,-9.726913978436711,0.8999380724046837
KR_like,12,0.8,12.233040988555535,0.39893906683813773,6.2653175252970605,-7.220786968317887,2.1150787172493724
KR_like,12,1.6,12.233040988555535,0.39893906683813773,6.2653175252970605,-2.2085329480802374,4.565051669456643
KR_like,14,0.0,15.513206082120067,0.5666826624228097,5.766193374754843,-15.513206082120067,0.5666826624228097
KR_like,14,0.2,15.513206082120067,0.5666826624228097,5.766193374754843,-14.359967407169098,0.36210904759458173
KR_like,14,0.4,15.513206082120067,0.5666826624228097,5.766193374754843,-13.20672873221813,1.032454306634509
KR_like,14,0.8,15.513206082120067,0.5666826624228097,5.766193374754843,-10.900251382316192,2.512006248519666
KR_like,14,1.6,15.513206082120067,0.5666826624228097,5.766193374754843,-6.287296682512318,5.504247897122523
KR_like,16,0.0,19.51129943169333,0.7950544670701456,9.0014946114657,-19.51129943169333,0.7950544670701456
KR_like,16,0.2,19.51129943169333,0.7950544670701456,9.0014946114657,-17.71100050940019,0.388555351034257
KR_like,16,0.4,19.51129943169333,0.7950544670701456,9.0014946114657,-15.910701587107052,0.9690995565302868
KR_like,16,0.8,19.51129943169333,0.7950544670701456,9.0014946114657,-12.31010374252077,2.514648371659332
KR_like,16,1.6,19.51129943169333,0.7950544670701456,9.0014946114657,-5.108908053348209,5.685406037533341
KR_like,18,0.0,22.898420208189634,0.40485555058835737,8.172317342873626,-22.898420208189634,0.40485555058835737
KR_like,18,0.2,22.898420208189634,0.40485555058835737,8.172317342873626,-21.263956739614912,0.17452414233154764
KR_like,18,0.4,22.898420208189634,0.40485555058835737,8.172317342873626,-19.629493271040182,0.3136426338144814
KR_like,18,0.8,22.898420208189634,0.40485555058835737,8.172317342873626,-16.360566333890734,0.9155789703518837
KR_like,18,1.6,22.898420208189634,0.40485555058835737,8.172317342873626,-9.822712459591834,2.1758813254085387
KR_like,20,0.0,26.751042197487962,0.5776654412281338,7.6751104943537385,-26.751042197487962,0.5776654412281338
KR_like,20,0.2,26.751042197487962,0.5776654412281338,7.6751104943537385,-25.216020098617214,0.3660449675826518
KR_like,20,0.4,26.751042197487962,0.5776654412281338,7.6751104943537385,-23.680997999746467,0.35712213045105407
KR_like,20,0.8,26.751042197487962,0.5776654412281338,7.6751104943537385,-20.61095380200497,0.8333054877862074
KR_like,20,1.6,26.751042197487962,0.5776654412281338,7.6751104943537385,-14.470865406521979,2.0364652153553546
absolute_layered,10,0.0,6.614654677272901,1.060372871976431,13.242194377725758,-6.614654677272901,1.060372871976431
absolute_layered,10,0.2,6.614654677272901,1.060372871976431,13.242194377725758,-3.9662158017277496,2.260502580080873
absolute_layered,10,0.4,6.614654677272901,1.060372871976431,13.242194377725758,-1.317776926182598,3.4842946353168984
