family,n,sample,gamma,log_H,neutral_penalty,geometric_penalty,score_A2,score_A3
KR_like,12,3,0.4,12.335046166822204,0.10469714506172839,5.589168968075154,-10.057499721567451,-10.099378579592143
KR_like,12,3,0.8,12.335046166822204,0.10469714506172839,5.589168968075154,-7.779953276312698,-7.863710992362081
KR_like,12,3,1.6,12.335046166822204,0.10469714506172839,5.589168968075154,-3.2248603858031917,-3.392375817901957
KR_like,12,4,0.0,12.43351096112725,0.05608603395061729,7.782720603748901,-12.43351096112725,-12.43351096112725
KR_like,12,4,0.2,12.43351096112725,0.05608603395061729,7.782720603748901,-10.865749633587347,-10.87696684037747
KR_like,12,4,0.4,12.43351096112725,0.05608603395061729,7.782720603748901,-9.297988306047444,-9.32042271962769
KR_like,12,4,0.8,12.43351096112725,0.05608603395061729,7.782720603748901,-6.162465650967636,-6.207334478128129
KR_like,12,4,1.6,12.43351096112725,0.05608603395061729,7.782720603748901,0.1085796591919781,0.018842004870991858
KR_like,12,5,0.0,11.866718259503722,0.10778356481481483,4.132473896143717,-11.866718259503722,-11.866718259503722
KR_like,12,5,0.2,11.866718259503722,0.10778356481481483,4.132473896143717,-11.018666767312016,-11.040223480274978
KR_like,12,5,0.4,11.866718259503722,0.10778356481481483,4.132473896143717,-10.170615275120308,-10.213728701046236
KR_like,12,5,0.8,11.866718259503722,0.10778356481481483,4.132473896143717,-8.474512290736897,-8.560739142588748
KR_like,12,5,1.6,11.866718259503722,0.10778356481481483,4.132473896143717,-5.082306321970071,-5.254760025673775
KR_like,12,6,0.0,12.30832232755857,0.058979552469135804,5.283749586131589,-12.30832232755857,-12.30832232755857
KR_like,12,6,0.2,12.30832232755857,0.058979552469135804,5.283749586131589,-11.239776499838424,-11.251572410332251
KR_like,12,6,0.4,12.30832232755857,0.058979552469135804,5.283749586131589,-10.171230672118279,-10.194822493105933
KR_like,12,6,0.8,12.30832232755857,0.058979552469135804,5.283749586131589,-8.03413901667799,-8.0813226586533
KR_like,12,6,1.6,12.30832232755857,0.058979552469135804,5.283749586131589,-3.7599557057974096,-3.8543229897480273
KR_like,12,7,0.0,12.896836989388325,0.10469714506172839,10.750292911235924,-12.896836989388325,-12.896836989388325
KR_like,12,7,0.2,12.896836989388325,0.10469714506172839,10.750292911235924,-10.725838978128793,-10.74677840714114
KR_like,12,7,0.4,12.896836989388325,0.10469714506172839,10.750292911235924,-8.554840966869264,-8.596719824893956
KR_like,12,7,0.8,12.896836989388325,0.10469714506172839,10.750292911235924,-4.212844944350202,-4.296602660399586
KR_like,12,7,1.6,12.896836989388325,0.10469714506172839,10.750292911235924,4.47114710068792,4.303631668589153
KR_like,14,0,0.0,15.480643124575774,0.04190383636447777,4.259908517751395,-15.480643124575774,-15.480643124575774
KR_like,14,0,0.2,15.480643124575774,0.04190383636447777,4.259908517751395,-14.6202806537526,-14.628661421025495
KR_like,14,0,0.4,15.480643124575774,0.04190383636447777,4.259908517751395,-13.759918182929425,-13.776679717475217
KR_like,14,0,0.8,15.480643124575774,0.04190383636447777,4.259908517751395,-12.039193241283076,-12.072716310374659
KR_like,14,0,1.6,15.480643124575774,0.04190383636447777,4.259908517751395,-8.597743357990378,-8.664789496173542
KR_like,14,1,0.0,15.153586891213543,0.05593444860937572,1.599979526817385,-15.153586891213543,-15.153586891213543
KR_like,14,1,0.2,15.153586891213543,0.05593444860937572,1.599979526817385,-14.82240409612819,-14.833590985850066
KR_like,14,1,0.4,15.153586891213543,0.05593444860937572,1.599979526817385,-14.491221301042838,-14.513595080486589
KR_like,14,1,0.8,15.153586891213543,0.05593444860937572,1.599979526817385,-13.828855710872133,-13.873603269759634
KR_like,14,1,1.6,15.153586891213543,0.05593444860937572,1.599979526817385,-12.504124530530724,-12.593619648305726
KR_like,14,2,0.0,15.520454085649403,0.11568385857744459,4.540848365749558,-15.520454085649403,-15.520454085649403
KR_like,14,2,0.2,15.520454085649403,0.11568385857744459,4.540848365749558,-14.589147640784002,-14.612284412499491
KR_like,14,2,0.4,15.520454085649403,0.11568385857744459,4.540848365749558,-13.657841195918602,-13.70411473934958
KR_like,14,2,0.8,15.520454085649403,0.11568385857744459,4.540848365749558,-11.7952283061878,-11.887775393049756
KR_like,14,2,1.6,15.520454085649403,0.11568385857744459,4.540848365749558,-8.0700025267262,-8.25509670045011
KR_like,14,3,0.0,16.59923473772503,0.09735816095145543,14.165139455046988,-16.59923473772503,-16.59923473772503
