n,family,sample_id,seed,beta,log_H,penalty_neutral,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,gamma,scale_factor,scale_label,matched_weight,consistency_weight,penalty_effective,score
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,1.5,1.5,1.500,0.682882,1.0243229999999999,14.520254283213514,-75.14941558783198
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,2.0,1.5,1.500,0.682882,1.0243229999999999,14.520254283213514,-67.88928844622521
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.0,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-96.92979701265224
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.1,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-95.4393391859568
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.2,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-93.94888135926136
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.4,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-90.96796570587047
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.6,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-87.98705005247959
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.8,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-85.0061343990887
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,1.0,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-82.02521874569781
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,1.5,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-74.57292961222059
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,2.0,1.6,1.600,0.682882,1.0926112000000001,14.904578266954434,-67.12064047874338
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.0,1.7,1.700,0.682882,1.1608994,15.288902250695347,-96.92979701265224
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.1,1.7,1.700,0.682882,1.1608994,15.288902250695347,-95.40090678758271
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.2,1.7,1.700,0.682882,1.1608994,15.288902250695347,-93.87201656251318
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.4,1.7,1.700,0.682882,1.1608994,15.288902250695347,-90.8142361123741
48,KR_like,0,48000,1.0,96.92979701265224,0.10724027657214508,4.324077125263812,0.40076442482571334,2.6330595744680854,5.627970626563835,2.6330595744680854,5.005393999999999,7.888609052210118e-31,21.0,0.00023685428298375282,0.0045874201498918585,0.07426757812499994,0.37139905877695,0.0625,14.22278621979066,0.6,1.7,1.700,0.682882,1.1608994,15.288902250695347,-87.75645566223504
